iter	Passed	Remaining
1169	24213	58568
1170	24234	58547
1171	24253	58523
1172	24275	58506
1173	24297	58488
1174	24321	58474
1175	24343	58457
1176	24363	58434
1177	24387	58422
1178	24409	58405
1179	24438	58404
1180	24463	58392
1181	24481	58365
1182	24503	58347
1183	24524	58329
1184	24551	58322
1185	24578	58315
1186	24598	58294
1187	24623	58283
1188	24645	58266
1189	24667	58249
1190	24691	58234
1191	24710	58210
1192	24734	58197
1193	24755	58176
1194	24773	58151
1195	24793	58128
1196	24817	58114
1197	24840	58099
1198	24860	58077
1199	24881	58057
1200	24906	58044
1201	24927	58026
1202	24945	57997
1203	24969	57984
1204	24989	57963
1205	25014	57952
1206	25043	57950
1207	25067	57937
1208	25093	57929
1209	25113	57906
1210	25137	57892
1211	25164	57887
1212	25188	57873
1213	25212	57860
1214	25238	57850
1215	25274	57865
1216	25306	57870
1217	25338	57874
1218	25355	57845
1219	25378	57830
1220	25408	57830
1221	25436	57824
1222	25459	57810
1223	25493	57817
1224	25519	57810
1225	25537	57781
1226	25564	57775
1227	25604	57796
1228	25638	57807
1229	25672	57814
1230	25698	57806
1231	25730	57809
1232	25755	57797
1233	25788	57805
1234	25825	57820
1235	25864	57838
1236	25895	57841
1237	25924	57838
1238	25955	57840
1239	25983	57835
1240	26008	57823
1241	26033	57810
1242	26055	57791
1243	26082	57783
1244	26114	57786
1245	26135	57767
1246	26169	57775
1247	26199	57773
1248	26229	57772
1249	26262	57777
1250	26281	57752
1251	26306	57739
1252	26328	57721
1253	26364	57733
1254	26392	57726
1255	26415	57710
1256	26451	57722
1257	26479	57716
1258	26508	57712
1259	26537	57707
1260	26568	57708
1261	26590	57690
1262	26611	57669
1263	26627	57635
1264	26648	57614
1265	26671	57598
1266	26693	57580
1267	26718	57567
1268	26738	57543
1269	26762	57529
1270	26794	57531
1271	26821	57522
1272	26850	57518
1273	26871	57496
1274	26894	57480
1275	26914	57457
1276	26938	57443
1277	26973	57451
1278	27008	57460
1279	27038	57456
1280	27063	57444
1281	27088	57430
1282	27111	57414
1283	27135	57398
1284	27168	57401
1285	27193	57390
1286	27218	57377
1287	27238	57352
1288	27259	57332
1289	27280	57309
1290	27302	57290
1291	27327	57277
1292	27351	57262
1293	27369	57235
1294	27394	57221
1295	27423	57217
1296	27456	57220
1297	27482	57208
1298	27503	57186
1299	27525	57167
1300	27546	57147
1301	27573	57136
1302	27596	57119
1303	27615	57093
1304	27642	57085
1305	27673	57083
1306	27697	57068
1307	27725	57062
1308	27754	57057
1309	27784	57053
1310	27813	57048
1311	27842	57042
1312	27877	57049
1313	27899	57030
1314	27923	57015
1315	27946	56997
1316	27966	56973
1317	27992	56961
1318	28018	56949
1319	28045	56941
1320	28069	56924
1321	28091	56905
1322	28115	56889
1323	28137	56870
1324	28159	56850
1325	28185	56837
1326	28208	56821
1327	28238	56816
1328	28260	56796
1329	28279	56770
1330	28305	56760
1331	28329	56743
1332	28351	56724
1333	28373	56705
1334	28397	56687
1335	28422	56674
1336	28450	56667
1337	28477	56656
1338	28504	56646
1339	28531	56637
